Site ID,query_count,Country,Region,missing_page_count,sae_count,anomaly_score,is_anomaly
14,1.0,0,0,0.0,0.0,0.24638612025878903,1
AUS,0.0,0,0,54.0,0.0,0.030370754392465837,1
CHN,0.0,0,0,29.0,0.0,0.10934178390249527,1
ISR,0.0,0,0,8.0,0.0,0.10371160186472583,1
JPN,0.0,0,0,61.0,0.0,-0.003374528265829513,-1
SGP,0.0,0,0,26.0,0.0,0.12060827264822732,1
Site 14,12.0,AUS,ASIA,0.0,0.0,-0.027227094845323596,-1
Site 15,4.0,AUS,ASIA,0.0,0.0,0.21382892596044178,1
Site 165,4.0,CHN,ASIA,0.0,0.0,0.21382892596044178,1
Site 168,1.0,CHN,ASIA,0.0,0.0,0.24638612025878903,1
Site 191,2.0,JPN,ASIA,0.0,0.0,0.23539051234930713,1
Site 193,3.0,JPN,ASIA,0.0,0.0,0.2311011392266461,1
Site 194,2.0,JPN,ASIA,0.0,0.0,0.23539051234930713,1
Site 20,7.0,USA,AMERICA,0.0,1.0,-0.11009079028358804,-1
Site 345,1.0,JPN,ASIA,0.0,0.0,0.24638612025878903,1
Site 349,7.0,SGP,ASIA,0.0,0.0,0.11937882194597899,1
Site 350,1.0,SGP,ASIA,0.0,0.0,0.24638612025878903,1
Site 351,3.0,TWN,ASIA,0.0,0.0,0.2311011392266461,1
Site 352,1.0,JPN,ASIA,0.0,0.0,0.24638612025878903,1
Site 62,5.0,ISR,EMEA,0.0,0.0,0.1729963587193437,1
TWN,0.0,0,0,16.0,0.0,0.14469771277982346,1
USA,0.0,0,0,16.0,0.0,0.14469771277982346,1
